,date,team_id,CURRENT_SCORE_FEATURE,LAST_WIN_FEATURE,MINOR_PERIOD_FEATURE,MIN_TEAM_FEATURE,ONE_MAYOR_FEATURE,PRE_RANK_FEATURE,PRE_VS_FEATURE,RANK_STATUS_FEATURE,TWO_MAYOR_FEATURE
20,20040813,14552,4.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 1}",2.0,"{'pre': 0, 'weight_score': -16, 'toteam': 14559, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14559, 'area': 2}","{'weight_score': 3, 'toteam': 14559, 'weight_num': 0}",2.0
21,20040813,14559,1.0,"{'win': 0, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 16, 'toteam': 14552, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14552, 'area': 1}","{'weight_score': -3, 'toteam': 14552, 'weight_num': 0}",2.0
22,20040814,14374,4.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 4, 'toteam': 14550, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14550, 'area': 2}","{'weight_score': 3, 'toteam': 14550, 'weight_num': 0}",2.0
23,20040814,14437,4.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 1, 'toteam': 14517, 'weight_num': 0}","{'pre': 0, 'weight_goal': 2, 'toteam': 14517, 'area': 2}","{'weight_score': 0, 'toteam': 14517, 'weight_num': 0}",2.0
24,20040814,14517,1.0,"{'win': 0, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -1, 'toteam': 14437, 'weight_num': 0}","{'pre': 0, 'weight_goal': -2, 'toteam': 14437, 'area': 1}","{'weight_score': 0, 'toteam': 14437, 'weight_num': 0}",2.0
25,20040814,14546,2.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': -17, 'toteam': 14629, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14629, 'area': 2}","{'weight_score': 1, 'toteam': 14629, 'weight_num': 0}",1.0
26,20040814,14547,1.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",1.0,"{'pre': 0, 'weight_score': 2, 'toteam': 14573, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14573, 'area': 2}","{'weight_score': -1, 'toteam': 14573, 'weight_num': 0}",1.0
27,20040814,14550,1.0,"{'win': 0, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -4, 'toteam': 14374, 'weight_num': 0}","{'pre': 0, 'weight_goal': -1, 'toteam': 14374, 'area': 1}","{'weight_score': -3, 'toteam': 14374, 'weight_num': 0}",2.0
28,20040814,14551,4.0,"{'win': 3, 'area': 1}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': 5, 'toteam': 14564, 'weight_num': 0}","{'pre': 0, 'weight_goal': 1, 'toteam': 14564, 'area': 1}","{'weight_score': -1, 'toteam': 14564, 'weight_num': 0}",2.0
29,20040814,14554,2.0,"{'win': 1, 'area': 2}",2.0,"{'pre': 0, 'mayorstatus': 3}",2.0,"{'pre': 0, 'weight_score': -5, 'toteam': 14555, 'weight_num': 0}","{'pre': 0, 'weight_goal': 0, 'toteam': 14555, 'area': 2}","{'weight_score': -3, 'toteam': 14555, 'weight_num': 0}",2.0
